title,c
expression quantitative trait loci data,2
lifestyle interventions and independence for elders pilot study,2
short form survey,2
study of inherited risk of coronary atherosclerosis,2
positron emission tomography data,2
national health and nutrition examination and survey,2
framingham heart study gates,2
rancho bernardo heart and chronic disease study,2
cardiovas cular health study,2
monongahela valley independent elders study,2
baltimore longitudinal study of aging tian,2
beijing vascular disease patients evaluation study,2
womens health initiative memory study,2
seattle midlife womens health study,2
second longitudinal study on aging,2
center for epidemiologic study,2
center for epidemiologic study depression,2
baltimore longitudinal study of aging baltimore maryland,2
genetic study of atherosclerosis risk gene,2
baltimore longitudinal study of aging neuroimaging substudy,2
baltimore longitudinal study of aging neuroimaging study,2
genetic epidemiology network of arteriopathy study,2
coronary calcium study,2
swiss salt study,2
moreover the framingham offspring study,2
physical performance study,2
study and the physical performance study,2
netherlands twin register study,2
aerobics center and san antonio heart study,2
helsinki policemen study,2
aerobics center and the san antonio heart study,2
baltimore longitudinal study of aging and the wisconsin registry for alzheimer,2
ottawa heart study,2
german myocardial infarction family study,2
european american lung health study,2
study of osteoporotic risk,2
adventist mortality study,2
setting participants this study,2
memory and ageing prospective study,2
hong kong the hong kong memory and ageing prospective study,2
third national and nutritional examination survey,2
study of health in pomerania germany,2
baltimore longitudinal study of aging united states,2
north america and europe the baltimore longitudinal study of aging,2
gene environment susceptibility study reykjavik,2
first cancer prevention study of the american cancer society and the nurses,2
national longevity sciences longitudinal study of aging,2
national nutrition survey japan,2
alzheimer s disease cooperative study instrumentation protocol ferris,2
framingham heart study and the malm diet and cancer study,2
cancer and nutrition potsdam study,2
baltimore longitudinal study of aging and health aging and body composition,2
participants of the baltimore longitudinal study of aging,2
rush memory aging study,2
study tuscany italy,2
american diabetes association and the european association for the study of diabetes,2
multicenter study of national population health,2
health study and atherosclerosis risk,2
antonio family heart study weir,2
baltimore longitudinal study on aging data,2
intramural research study,2
national study of medical care outcomes,2
women s genome health study,2
pennsylvania catheterization study,2
swedish centenarian study,2
baltimore longitudinal study of aging and the new england centenarian study,2
phenome disease association study,2
baltimore longitudinal study on aging and the national institutes of health,2
british united provident association study,2
study of osteoporotic fractures study,2
leuven longitudinal study on lifestyle physical fitness and health,2
leuven genes for muscular strength study,2
united kingdom health and lifestyle survey,2
anglo cardiff study,2
pune maternal nutrition study,2
pune children study,2
temperament survey individual,2
study the age gene environment susceptibility reykjavik study,2
invecchaire in chianti study,2
framingham study the leiden longevity,2
mayo older adults normative study petersen,2
berlin aging study lindenberger reischies,2
canadian study of health and aging tuokko,2
alzheimer s disease cooperative study instrumentation protocol,2
massachusetts male aging study questionnaire morley,2
healthy twin study,2
normative aging study mroczek spiro,2
guilford zimmerman temperament survey and the revised,2
study entry systolic,2
geisinger rural aging study,2
malm diet and cancer cohort study,2
women s cohort study,2
europe and the framingham heart study,2
portuguese national health survey,2
atherosclerosis risk in community study,2
polish longitudinal study of aging,2
honolulu heart program nurses health study health professionals follow,2
study adventists health study iowa women s study and the cardiovascular heart,2
mexico study of nutrition and aging,2
beaver dam study sample,2
national merit twin study,2
survey committee on the problems of ageing and the care of people,2
hawaii longitudinal study of personality and health,2
women s health and aging study competing interests,2
mexico aging process study,2
mexico aging study,2
prospective longitudinal observational community based study,2
mexico process study,2
study the troms study the concord health and aging in men project,2
million women study collaborative group on hormonal factors in breast cancer study,2
finland case control study,2
borderline personality disorder study and the genetics of laterality smell taste,2
european male ageing study,2
national survey of medical decisions,2
quebec prostate cancer study,2
european prospective investigation of cancer norfolk genome wide association study,2
premature coronary artery disease study boston,2
finland malm diet and cancer study malm sweden,2
study estudio familiar,2
school health profiles survey,2
school nutrition dietary assessment study,2
education statistics private school universe survey and the bureau of indian education,2
qualtrics online survey software qualtrics labs inc provo utah,2
national center for education statistics private school universe survey,2
environmental education database of organizations and programs,2
structural database of allergen proteins,2
global population dynamics database inchausti halley,2
department of education the database of accredited postsecondary institutions and programs,2
high school and beyond third follow up survey,2
smith clark and blomeyer study,2
national postsecondary student air study,2
integrated postsecondary education data survey,2
baccalaureate and beyond longitudinal study perna,2
destinations of leavers from higher education survey,2
schools and staffing survey and teacher follow up survey,2
national sample survey of registered nurses,2
national student survey of engagement,2
using the panel study of income dynamics,2
panel study of income dynamics and national longitudinal study of youth,2
survey of foreign language entrance and degree requirements,2
baccalaureate and beyond longitudinal survey,2
national resources inventory data,2
agricultural prices survey,2
database s monthly electric utility sales and revenues data,2
agriculture and resource management survey,2
federal reserve bank s survey of consumer finance,2
canada the survey of financial security,2
national survey of family growth axinn,2
agricultural chemical usage survey,2
world bank database,2
agricultural resource management survey and the consumer expenditure survey,2
farm labor survey of the national agricultural statistics service,2
acreage production and stocks survey,2
crops acreage production and stocks survey,2
university of wisconsin survey center,2
agriculture resources management survey data,2
local food marketing practices survey of the census of agriculture,2
web soil survey,2
medical expenditure panel study,2
united states united kingdom australian and danish survey,2
global multi resolution terrain elevation data,2
coriolis ocean dataset for reanalysis data,2
global tide and surge reanalysis data,2
scheme was selected for this study,2
revised hurricane database,2
jamaica s survey of living conditions,2
labour force survey the april,2
global distribution of coral reefs dataset,2
extended reconstructed sea surface temperature data,2
national climatic data center s integrated surface database version,2
international disaster database,2
jamaica labour force survey,2
united states geological survey earth resources observation and science,2
extended best track dataset demuth,2
best track data,2
graduate placement survey,2
graduate placement survey data,2
national science foundation survey of earned doctorates data,2
from the annual survey of colleges standard research compilation,2
according to the national science foundation survey of earned doctorates,2
private schools study,2
school climate survey compendia,2
simple ocean data assimilation data,2
national oceanic and atmospheric administration world ocean database levitus,2
postsecondary students longitudinal study national postsecondary student aid study,2
integrated postsecondary educational data system national study of postsecondary faculty and beginning,2
beginning post secondary survey,2
project talent follow up pilot study,2
longitudinal study of adult learning,2
university of michigan s health and retirement study,2
health and the beginning postsecondary students longitudinal study,2
beginning postsecondary students longitudinal study cataldi bennett and chen,2
american college survey,2
beginning postsecondary students longitudinal study restricted use transcript data files and documentation,2
center for the study of teaching and policy,2
census bureau s survey of school district finances,2
minnesota student survey,2
teacher working conditions survey data,2
superintendent longevity and time study,2
care youth survey arthur,2
latino center study,2
pennsylvania youth survey,2
department of education s school and staffing survey,2
handbook of survey methods,2
world inequality database on education,2
census current population survey and the book of the states,2
comprehensive school reform awards database,2
local education agency finance survey,2
local education agency finance survey and common core of data the michigan,2
school attendance boundary survey,2
public elementary and secondary school universe survey,2
growth research database,2
rural high school aspirations study,2
national cancer institute s health information national trends survey,2
international study director,2
german qualification and career survey,2
national health well being and perspectives study,2
national health wellbeing and perspectives study,2
survey sampling international,2
survey of doctorate recipients and the survey of earned doctorates,2
national research council survey of doctorate recipients,2
survey of earned doctorates table,2
survey of earned doctorates arlington,2
survey of earned doctorates and the survey of doctoral recipients,2
national survey of college graduates hunt and gauthier loiselle,2
survey of doctorate recipients moguerou,2
proquest dissertations database,2
framingham offspring cohort study,2
lipid research prevalence study,2
related eye disease study,2
chicago heart association detection project in industry study,2
baltimore longitudinal study of aging harman,2
cardiovascular risk in young finns study,2
dallas heart study,2
african american study of kidney disease and hypertension,2
american cancer society s cancer prevention study,2
harvard alumni study,2
study of energy and aging pilot,2
multicenter osteoarthritis study,2
finnish diabetes prevention study,2
national health and nutrition examination survey epidemiologic follow up study,2
ischemic stroke genetic study,2
brisighella heart study,2
framingham offspring spouse study,2
cardiovascular health study cohort,2
canadian national population health survey,2
longitudinal health insurance database,2
western electric study,2
behavioral risk factor survey,2
heart protection study,2
charleston heart study,2
medical research council cognitive function and ageing study,2
survey of health aging and retirement in europe,2
mayo clinic cohort study of oophorectomy and aging,2
manhattan study of aging,2
united kingdom prospective diabetes study,2
european randomized study of prostate cancer,2
framingham heart study offspring cohort,2
baltimore longitudinal study of aging table,2
baltimore longitudinal study of aging kawas,2
black women s health study,2
eye disease case control study,2
cancer prevention study group,2
physician s health study,2
national center for education statistics the early childhood longitudinal study,2
teenagers environments exercise and nutrition study,2
early head start research and evaluation study,2
national longitudinal lesbian family study,2
early childhood longitudinal study birth cohort data,2
longitudinal study of australian children birth cohort,2
demographic and health survey,2
infant feeding practices survey,2
national longitudinal study of children and youth,2
infant feeding practices study,2
state and local area integrated telephone survey,2
early childhood longitudinal study kindergarten cohorts,2
early childhood longitudinal study of children,2
early childhood longitudinal study carbonaro,2
community health survey,2
national household food acquisition and purchase survey food,2
british birth cohort study,2
early childhood longitudinal study and the national assessment of educational progress,2
beginning teacher evaluation study,2
school health policies and practices study,2
early childhood longitudinal study magnuson ruhm and waldfogel,2
national longitudinal study of youth and the national educational longitudinal study,2
monte carlo study,2
study on early child care,2
health information national trends survey,2
national center of education statistics the early childhood longitudinal study birth,2
code business patterns survey,2
pre elemen tary education longitudinal study,2
education longitudinal study kindergarten cohort,2
early childhood american journal of education longitudinal study kindergarten cohort,2
lasting benefits study,2
early child longitudinal study,2
british national child development study,2
early childhood longitudinal study of the kindergarten class,2
early childhood longitudinal study kindergarten cohort morgan,2
early childhood longitudinal study magnuson,2
trends in international mathematics and science study and progress in international reading,2
third international math and science study,2
life style survey,2
privacy protection study commission,2
brain development study,2
australia australian imaging biomarkers and lifestyle flagship study of aging,2
genome wide association study data,2
pittsburgh cardiovascular health study cognition study,2
alzheimer s disease cooperative study prevention instrument project,2
rosa neto serge gauthier study,2
harvard aging brain study alzheimer s disease neuroimaging initiative and australian imaging,2
biomarkers and lifestyle study of ageing,2
australian imaging biomarkers and lifestyle study of ageinga,2
alzheimer s prevention initiative generation study,2
mayo for the alzheimer s disease neuroimaging initiative study,2
australian imaging biomarkers lifestyle flagship study of aging,2
pfizer pharmaceutical company pfizer study,2
brisbane adolescent young adult longitudinal twin study,2
memory health and aging study,2
joseph and kathleen bryan alzheimer s disease research center study,2
national patient care database,2
cognitive cohort study,2
from the einstein aging study,2
longitudinal ventricular expansion study,2
swedish national study on aging and care in kungsholmen,2
australian imaging and biomarkers and lifestyle study,2
mayo older americans normative study data,2
alzheimer s disease dataset,2
alzheimer disease neuroimaging initiative study,2
vietnam veteran readjustment study,2
according to the dominantly inherited alzheimer network study,2
disease neuroimaging initiative study,2
oregon brain aging study the community brain donor program and the klamath,2
swedish twin registry study,2
asia aging study,2
study of health and aging mayo s older americans normative studies,2
neurodegeneration in aging down syndrome study,2
trend the study of health in pomerania,2
international neuroimag ing data sharing initiative,2
registry for alzheimer s disease study,2
swedish alzheimer s treatment study,2
alzheimer s disease cooperative study preclinical alzheimer cognitive composite,2
disease family study genome wide association study for susceptibility loci data,2
cooperative study activities of daily living,2
australian imaging biomarkers and lifestyle flagship study of ageing the alzheimer,2
disease neuroimaging initiative and the alzheimer s disease cooperative study,2
magnetic resonance imaging study,2
women s health initiative magnetic resonance imaging study,2
laboratory of neuro imaging image database archive,2
bartr s faz and miranka wirth study,2
plasma proteome dataset,2
national heart lung and blood institute exome sequencing project database,2
alzheimers disease national initiative,2
disease neuroimaging initiative pediatric imaging neurocognition and genetics study frazier jean,2
memory and aging project study,2
child study center,2
toronto s database of genomic variants,2
neuropathology group of the medical research council cognitive function and ageing study,2
religious order study and the rush memory and aging project study,2
center for the study of human cognition department of psychology university,2
caregiver and study partner portal,2
imaging dementia evidence for amyloid scanning study,2
mayo clinic study of aging jones,2
mayo clinic study of aging functional connectivity atlas jones,2
based morphometry study,2
utah population database,2
mayo clinic dataset,2
mayo clinic study of aging functional connectivity atlas,2
item short form health survey ware,2
foresight study for the development,2
molecular signatures database subramanian,2
collaborative lowdose aspirin study in pregnancy,2
national institute on aging s health and retirement study,2
study data tabulation model,2
alzheimer s disease cooperative study group,2
assessment for dementia alzheimer s disease cooperative study activities of daily living,2
open access series of imaging studies data,2
strengths and limitations of current study,2
australian imaging biomarker and lifestyle flagship study of aging,2
lilly and company alzheimer s disease cooperative study,2
study to evaluate safety tolerability and efficacy,2
northwestern university schizophrenia data,2
disease family study,2
religious order study and memory aging project,2
clinical group differences in the validation dataset,2
national institute on aging late onset alzheimer s disease study,2
array tissue panel study,2
pediatric study centers,2
exome variant server data,2
international database for longitudinal studies on aging and dementia,2
cache county study on memory and aging,2
sunnybrook dementia study clinical,2
religious orders study bennett,2
amsterdam the netherlands dataset,2
framingham heart study boston university,2
european genome wide association study,2
alzheimer s association institute for the study of aging,2
mayo clinic study of aging and the mayo clinic alzheimer s disease,2
recurrent stroke study,2
memory impairment study,2
manuscript author manuscript this study,2
genetics initiative study family sample,2
family study sample,2
german study on ageing cognition and dementia in primary care patients,2
data aggregation and selection of prediction dataset,2
rush alzheimer s disease center religious orders study,2
study the national institute on aging,2
associations in alzheimer s disease study the mayo clinic,2
late onset alzheimer s disease study and the university of miami vanderbilt,2
multi institutional research on alzheimer s disease genetic epidemiology study,2
study the university of pittsburgh and washington university,2
rush university religious orders study memory and aging project data,2
neuroimaging genetics dataset,2
australian imaging biomarkers lifestyle study,2
brainarray database search,2
australian imaging biomarker lifestyle study,2
versatile gene based association study,2
disease family study genome wide association study for susceptibility loci,2
risk genetic association study,2
study and the alzheimer s disease neuroimaging,2
older australian twins study,2
genome wide association study meta analyses,2
copenhagen general population study and the copenhagen city heart study,2
study of dementia in swedish twins,2
south of sweden malm diet and cancer study,2
alzheimer s disease research center study,2
knight alzheimer s disease research center study,2
sydney memory and aging study,2
center biomarker study,2
german study on ageing cognition and dementia,2
biomarkers of cognitive decline among normal individuals study,2
disease family study and mayo clinic,2
religious orders study and rush memory and aging project the adult changes,2
stanford large network dataset,2
flow and motion study group of the international society for magnetic resonance,2
internet brain volume database,2
national alzheimer s coordinating center data,2
integrated neurogenerative disease database,2
canadian longitudinal study of aging,2
alzheimer s disease national initiative data,2
parkinson s progression marker initiative,2
autism brain imaging data exchange data,2
north american prodrome longitudinal study cannon,2
nathan kline institute enhanced rockland sample neurofeedback study,2
simulated brain database,2
study the alzheimer s disease neuroimaging initiative,2
epidemiology and phenotyping study,2
network neuroimaging study,2
study of aging framingham study women s health initiative rotterdam study,2
imaging study of concussion frontiers in neurology,2
prospective imaging study of concussion frontiers in neurology,2
infection study in northwestern university,2
baltimore longitudinal study for aging,2
rush religious orders study and memory and aging project,2
breast cancer wisconsin dataset,2
breast cancer wisconsin diagnostic dataset,2
this study done several,2
australian imaging biomarker and lifestyle flagship study of ageing data,2
religious orders study and rush memory and aging project data,2
national institute on aging late onset alzheimer s disease family study data,2
imaging biomarker lifestyle flagship study of ageing,2
brisbane longitudinal twin study,2
mayo clinic study of ageing,2
national database of autism research,2
study of normal human brain development,2
alzheimer s disease collaborative study,2
canadian collaborative cohort of related dementias study,2
galantamine international study,2
integrated pathway analysis database,2
pathway analysis and the integrated pathway analysis database,2
german study on aging cognition and dementia,2
cognitive function and ageing study,2
family blood pressure project genetic epidemiology network of arteriopathy study,2
north america the canadian longitudinal study in aging,2
stroke patient recovery research database,2
swedish alzheimer treatment study,2
tufts center for the study of drug development,2
quebec pancreas cancer study,2
ontario pancreas cancer study,2
longitudinal evaluation of amyloid risk and neurodegeneration study,2
prevention initiative generation study and the anti amyloid treatment in asymptomatic alzheimer,2
dallas lifespan brain aging study,2
virginia cognitive aging project health and retirement study and harvard aging brain,2
mayo clinic study of aging and the australian imaging biomarkers and lifestyle,2
harvard aging brain study martinos centre,2
australian imaging biomarker lifestyle study of ageing,2
study demographics and child health history questionnaire,2
online mendelian inheritance in man data,2
threshold assessment and similarity metric study of the supplementary materials,2
austrian stroke prevention study,2
national institute of neurological disorders and stroke data,2
initiative study the alzheimer s disease neuroimaging initiative,2
embase cochrane central cochrane database of systematic reviews psych,2
embase cochrane central register of controlled trials cochrane database of systematic reviews,2
whole brain atlas data,2
intelligent systems to assess aging changes study,2
professional fighters brain health study,2
heart study and the jackson heart study,2
transcriptome wide association study,2
study of normal brain development evans,2
study of crenezumab versus placebo to evaluate the efficacy and safety,2
ante amyloid prevention of alzheimer s disease study,2
study to protect brain health through lifestyle intervention to reduce risk,2
dementia alzheimer s disease study,2
autism genetic database,2
australian imaging biomarkers and lifestyle flagship study,2
australia imaging biomarkers and lifestyle study,2
australia imaging biomarkers and lifestyle study of ageing,2
biomarker development for postoperative cognitive impairment in the elderly study,2
presidential commission for the study of bioethical issues,2
parkinson s associate risk study,2
harvard biomarkers study,2
european medical information framework for alzheimer s disease multimodal biomarker discovery study,2
australian imaging biomarker and lifestyle flagship study,2
study design architecture,2
pipeline database plug in infrastructure,2
epigenome wide association study,2
normal brain development study,2
placental dysfunction study,2
using the framingham heart study,2
neurotransmitter study selected,2
deep and frequent phenotyping study,2
berkeley segmentation dataset and benchmark,2
european prevention of alzheimer s dementia longitudinal cohort study,2
swedish national study on ageing and care,2
frontotemporal dementia treatment study group,2
dataset processing and encoding,2
study of normal brain development brain development cooperative group,2
study of normal brain development evans and the brain development cooperative group,2
korea healthy twin study,2
study of latinos investigation of neurocognitive aging,2
national institute of mental health alzheimer s disease genetics initiative study,2
schizophrenia network for intermediate phenotypes study,2
bipolar and schizophrenia network for intermediate phenotypes study,2
autism imaging multicentre study,2
autism imaging multi centre study,2
medical research council autism imaging multicentre study,2
pima india diabetic dataset,2
clinical study reports,2
individual participant data,2
alzheimer s disease cooperative study activity of daily living scale,2
dominantly inherited alzheimer network study,2
helsinki birth cohort study,2
lothian birth cohort study,2
framingham heart study second generation cohort,2
orders study and memory and aging project,2
beijing eyes open eyes closed study,2
washington heights inwood columbia aging project study,2
study group on ataxic diseases,2
adult health survey,2
adult health study,2
radiation effect research foundation adult health survey,2
national nutrition survey in japan,2
finnish geriatric intervention study to prevent cognitive impairment and disability study,2
irish longitudinal study of ageing,2
proteomic study of degenerative protein modifications in the molecular pathology of neurodegeneration,2
study on diagnosis of early alzheimer s disease japan,2
alzheimer s study group adapted,2
virtual private database,2
european cooperative against stroke study,2
integrated neurodegenerative disease database,2
study alzheimer s association international conference,2
erasmus rucphen family study,2
according to the alzheimer disease and frontotemporal dementia mutation database,2
cognitive function and ageing study in britain,2
depression in alzheimer s disease study,2
greater cincinnati northern kentucky stroke study,2
autism brain imaging database exchange,2
antonio family heart study,2
child and adolescent neuro development initiative,2
brain operation database,2
genetics of brain structure and function study,2
mayo clinic study of aging roberts,2
carnegie mellon university study,2
pfizer longitudinal study,2
oregon alzheimer s disease center the oregon brain aging study,2
mayo clinic rochester for the alzheimer s disease neuroimaging initiative study,2
dissociative identity disorder study,2
wisconsin sleep cohort study,2
australian busselton health study,2
multidisciplinary approach to the study of chronic pelvic pain research network,2
concomitant meds this study,2
collection sub study,2
glasgow unfamiliar face database,2
healthy brain network data,2
indian genetic disease database,2
saccharomyces genome database,2
open access biological data sources saccharomyces genome database,2
genomics the small molecule pathway database,2
bipolar disorder neuro imaging database,2
cognitive reserve reference ability neural network study,2
irish longitudinal study on ageing,2
international neuroimaging data initiative,2
subject enrollment imaging study series,2
paediatric imaging study,2
allen mouse diversity study,2
adolescent brain cognitive development study,2
international association for the study of pain,2
international association on the study of pain,2
systemic synuclein sampling study,2
linked open data,2
asian face database,2
korean face database,2
planck institute face database,2
japan face database,2
really big data,2
national postdoctoral association institutional policy database and report national postdoctoral association,2
third international mathematics and science study repeat,2
trends in international mathematics and science study gonzales,2
trends in the international mathematics and science study,2
national educational panel study,2
national monitoring study of student achievement,2
trends in international mathematics and science study programme for international student assessment,2
international computer and information literacy study,2
biological science curriculum study,2
mathematics and science in the trends in international mathematics and science study,2
trends in international mathematics and science study and the program for international,2
programme for international student assessment survey,2
south african social attitudes survey,2
trends in international mathematics and science study the philippines,2
youth panel korean education employment panel korean education longitudinal study park,2
korea youth panel survey,2
living standards measurement study,2
teaching and learning international study,2
program for international reading and literacy survey,2
programme for international student assessment trends in international mathematics and science study,2
international adult literacy study,2
learner s perspective study,2
national household income and expenditure survey,2
na tional education longitudinal study,2
international social survey program,2
perinatal mortality survey,2
measures of effective teaching study,2
children of immigrants longitudinal survey,2
progress in international reading literacy study mullis martin kennedy,2
national sample survey data,2
national family health survey,2
multiple indicator cluster survey,2
conceptual survey of electricity and magnetism,2
special needs education longitudinal study,2
gerontology education longitudinal study,2
korea education longitudinal study,2
seoul education longitudinal study,2
association for the study of animal behaviour and the animal behavior society,2
cloud atmosphere land study,2
ocean cloud atmosphere land study regional experiment,2
global network of isotopes in precipitation data,2
oceanographic database of the international council for the exploration,2
national postsecondary aid study,2
database for policy decision making for future climate change,2
reef life survey,2
comprehensive historical upper air network data,2
north carolina geological survey,2
survey of graduate students and postdoctorates in science and engineering national science,2
graduate education survey,2
foundation s graduate education survey,2
national science foundation survey of doctorate recipients sabharwal and corley,2
source survey of doctorate recipients,2
national science foundation s survey of industrial research and development,2
annual survey of manufacturers,2
southern ocean database,2
climate database modernization program,2
european marine observation and data,2
world ocean database levitus,2
joint global ocean flux study synthesis and modeling project,2
world ocean database conkright,2
continuously managed database,2
national oceanographic data center s world ocean database,2
national oceanographic data center world ocean database,2
adult tobacco survey,2
hospital discharge database,2
florida survey research center,2
minnesota adolescent community cohort study,2
nutrition environment measures survey in stores,2
department of agriculture continuing survey of food intakes,2
national youth tobacco survey,2
kentucky geological survey,2
neighborhood change database,2
american census survey,2
american communities survey,2
national longitudinal mortality study,2
agricultural chemical use database,2
schools and staffing survey national center for education statistics,2
national longitudinal school level state assessment score database,2
blueprints for violence prevention center for the study and prevention of violence,2
national longitudinal survey of youth gibbs,2
educational longitudinal study national longitudinal study of adolescent health,2
high school longitudinal survey,2
survey of adolescent males,2
national center for educational statistics and the children of immigrants longitudinal study,2
national survey of adolescent health,2
national institute of child health and human development s study of early,2
department of education s beginning post secondary survey,2
national teacher principal survey,2
national center for education statistics national teacher principal survey,2
national center of education statistics national teacher and principal survey,2
agriculture agricultural resource management survey,2
survey of earned doctorates the survey of doctorate recipients and the national,2
survey of college graduates,2
eurostat science and technology database statistics on research and development,2
state wide early education program study,2
beginning postsecondary students longitudinal study power,2
study science technology engineering and mathematics,2
national student clearinghouse and national student loan database system data,2
beginning postsecondary longitudinal study second follow,2
test scores in the national education longitudinal study,2
imputation of test scores in the national education longitudinal study,2
national postsecondary student aid study data analysis systems,2
beginning postsecondary students longitudinal study second followup,2
perkins and college work study,2
study second follow,2
education s beginning postsecondary students longitudinal study,2
education s national postsecondary student aid survey,2
telephone survey unit,2
trends in transfer out reporting study,2
online survey of institutions,2
feasibility study of longitudinal design for schools and staffing survey,2
common core of data school survey data,2
behavior risk factor surveillance survey,2
international survey of adult literacy and life skills,2
major field of study and labor market outcomes,2
baccalaureate and beyond first follow up study,2
beyond longitudinal study second follow,2
national postsecondary students aid study,2
dallas morning news study,2
college work study,2
center for the study of higher and postsecondary education,2
integrated postsecondary education data system the national study of postsecondary faculty,2
survey of degrees and other formal awards conferred and in the completions,2
survey of earned doctorate data,2
education s completions survey,2
survey of recent science social science and engineering graduatesor the new entrants,2
national survey of natural and social scientists and engineersor the survey,2
degrees and other formal awards conferred survey,2
survey of earned doctorates questionnaire,2
study of the increased time to complete doctorates in science and engineering,2
survey of earned doctorates questionnaire coding manual washington national research council,2
science and engineering graduate student survey,2
doctorate records file s survey of earned doctorates,2
survey of doctorate recipients national science foundation division of science resources statistics,2
survey of doctorate recipients percentage,2
survey of doctorate recipients social,2
national research council national science founian survey of doctorate recipients,2
national research council national science foundation survey of doctorate recipients,2
survey of doctorate recipients median,2
schools and staffing survey table,2
education national center for education statistics high school longitudinal study,2
national archive of criminal justice data,2
trends in international mathematics and science survey,2
survey of doctorate recipients the national survey of college graduates,2
graduate student survey web based data reporting system,2
national crime victimization survey s school crime supplement,2
school crime supplement and the schools and staffing survey,2
national health interview youth risk behavior survey,2
after national crime victimization survey school crime supplement,2
after schools and staffing survey,2
study of academic prediction and growth,2
bureau of labor statistics national longitudinal survey of labor force experience,2
charting reform principal survey,2
equality of educational opportunity survey,2
continuing study of the lifestyles and values of youth,2
study of academic growth and prediction hilton,2
agency database for school year,2
year first and second followup survey,2
current population survey of the census and the national education longitudinal study,2
school the school survey on crime and safety,2
proceedings of the section on survey,2
analysis of national sample survey data table,2
special study panel of education indicators,2
equal educational opportunity survey,2
academic growth study,2
interviewer self study guide,2
operation interviewer self study guide,2
base year student and teacher survey,2
base year teacher survey,2
introduction the national education longitudinal study,2
specific place for study,2
high school beyond study,2
base year parent survey first follow up teacher survey second follow,2
second follow up student survey table,2
base year parent survey first follow up teacher survey first and second,2
senior cohort national education longitudinal study,2
statistics national longitudinal study,2
source national center for education statistics national longitudinal study,2
family income study,2
third follow up survey,2
washington state family income study,2
education national center for education statistics national educational longitudinal study,2
national education longitudinal study of the eighth grade class,2
second follow up survey,2
school transcript study,2
first follow up survey and high school transcript study,2
cohort first follow up survey and high school transcript study,2
sophomore cohort first follow up survey and high school transcript study,2
sophomores high school transcript study,2
self study exercises,2
chapter two survey design and preparation,2
second international matirtmatics study,2
national edattalim logitudinal study,2
national survey of practices and trends,2
natimal survey of practices and trends,2
first follow up student survey,2
fourth follow up student survey,2
base year student survey,2
base year school survey,2
third follow up student survey,2
field test of the school survey,2
student characteristics student participation volunteers national education longitudinal study,2
second followup survey,2
electronic codebook system of the national education research longitudinal study,2
sustaining effects study data,2
naiional longitudinal study,2
field test of the teacher survey,2
school effectiveness study this,2
school effectiveness study complete,2
school effectiveness study results,2
high school effectiveness study several,2
safe schools study national institute of education,2
national adolescent student health survey,2
special study panel on educational indicators,2
hopkins enhancement survey,2
high school and beyond base year survey,2
study of the national education longitudinal study,2
iligh school and beyond study,2
safe school study,2
high school effects study,2
louisiana school effectiveness study phase,2
longitudinal study of american youth the national education longitudinal study,2
monitoring the future survey,2
enrollment status of the study sample,2
education national center for education statistics national education longitudinal survey,2
mathematica s valuing competencies study,2
base year ineligible study and school effects augmentation,2
study group on the conditions of excellence in american higher education,2
national longitudinal survey of labor market experience youth cohort,2
first international mathematics survey,2
postsecondary transcripts study,2
senior and the sophomore cohort postsecondary education transcript study sample sample,2
intervention longitudinal study,2
high school and beyond and the national longitudinal study,2
national job corps study,2
public elementary secondary agency universe survey,2
survey of teacher demand and shortage,2
school staffing survey,2
national center for education statistics early childhood longitudinal study kindergarten class,2
population survey national household education survey survey of income and program participation,2
kindergarten cohort of the early childhood longitudinal study,2
national center for education statistics early childhood longitudinal study kindergarten,2
delaware early childhood longitudinal study,2
teacher education anddevelopment study,2
reading literacy study binkley and rust,2
schools findings from the school survey on crime and safety,2
survey and science and engineering in american industry,2
main study and the national supplement,2
young adult literacy study,2
coastal analysis and mapping study,2
sea level rise risk management study,2
coastal erosion study,2
florida geological survey,2
homeland infrastructure foundation level data,2
hurricane evacuation study,2
industry exposure database,2
maryland geological survey,2
hatteras north and hatteras breach study,2
chincoteague and hatteras breach study,2
chesapeake bay land cover dataset,2
united state geological survey,2
change analysis program data,2
survey national water quality assessment program,2
philadelphia food system study,2
barrow area information database,2
global positioning system survey,2
california geological survey,2
national longitudinal educational survey data,2
faculty satisfaction survey,2
survey sciences group,2
education s baccalaureate and beyond longitudinal study,2
national post secondary student aid study,2
baccalaureate and beyond longitudinal study cataldi siegel shepherd cooney,2
australian graduate survey,2
national longitudinal survey of freshman,2
time use survey the american time use survey,2
students persisting in engineering survey assessing women and men in engineering project,2
national survey of recent college graduates data,2
linked survey and transaction,2
institutions and higher education research and development survey,2
institutions and the survey of earned doctorates,2
survey of earned doctorates and the census bureau s american community survey,2
survey of selected departments october,2
member database december,2
special interest group survey,2
surveys national survey of recent college graduates,2
survey of college graduates longitudinal survey,2
netherlands survey of doctorate recipients,2
netherlands survey of doctorate recipients sonneveld,2
department of education s completions survey,2
national center for education statistics national postsecondary study aid study,2
survey of earned doctorates millar and dillman,2
international doctorate students study,2
faculty shortage study,2
world population policies database,2
survey of earned doctorates and the survey of doctorate recipients,2
according to the american community survey,2
survey of the characteristics and dimensions of mentoring,2
october current population survey autor katz and krueger,2
significance of the study according,2
data are available for study,2
national survey of youth in custody,2
national youth risk behavior survey,2
